employeeId,password,registrationNumber,vehicleModel,admin
CM1001,password123,ABC193,Corolla,FALSE
CM1002,securePass456,ABC194,Accord,TRUE
CM1003,fleetPass789,ABC195,Fusion,FALSE
CM1004,pass1234,ABC196,Malibu,FALSE
CM1005,adminPass789,ABC197,Altima,TRUE
CM1006,pass123,ABC198,3 Series,FALSE
CM1007,fleetPass789,ABC199,C-Class,FALSE
CM1008,securePass123,ABC200,Sonata,FALSE
CM1009,admin123,ABC201,Optima,TRUE
CM1010,password456,ABC202,Passat,FALSE
CM1011,pass678,ABC203,Prius,FALSE
CM1012,secure789,ABC204,Insight,FALSE
CM1013,adminPass456,ABC205,C-Max Hybrid,TRUE
CM1014,fleetPass123,ABC206,Volt,FALSE
CM1015,pass890,ABC207,Leaf,FALSE
CM1016,admin567,ABC208,Model S,TRUE
CM1017,password789,ABC209,RAV4 Hybrid,FALSE
CM1018,pass345,ABC210,UX 250h,FALSE
CM1019,securePass789,ABC211,Escape Hybrid,FALSE
CM1020,adminPass123,ABC212,Camry Hybrid,TRUE
CM1021,pass678,ABC213,Jetta TDI,FALSE
CM1022,fleetPass123,ABC214,A3 TDI,FALSE
CM1023,securePass123,ABC215,Cruze Diesel,FALSE
CM1024,password456,ABC216,GLC 300e 4MATIC,FALSE
CM1025,admin789,ABC217,i3,TRUE
CM1026,pass678,ABC218,F-150 Hybrid,FALSE
CM1027,fleetPass123,ABC219,Silverado Diesel,FALSE
CM1028,securePass123,ABC220,Titan XD Diesel,FALSE
CM1029,password456,ABC221,Clarity Plug-In Hybrid,TRUE
CM1030,pass678,ABC222,Mirai,FALSE
CM1031,admin789,ABC223,Outback,TRUE
CM1032,password456,ABC224,Mazda6,FALSE
CM1033,pass678,ABC225,Soul,FALSE
CM1034,securePass123,ABC226,Ioniq Hybrid,FALSE
CM1035,admin789,ABC227,S60,TRUE
CM1036,password456,ABC228,E-Class,FALSE
CM1037,pass678,ABC229,Q5 TDI,FALSE
CM1038,securePass123,ABC230,Mustang Mach-E,FALSE
CM1039,admin789,ABC231,Highlander Hybrid,TRUE
CM1040,pass678,ABC232,LS 500h,FALSE
CM1041,password456,ABC233,5 Series,FALSE
CM1042,pass678,ABC234,Wrangler 4xe,FALSE
CM1043,securePass123,ABC235,Equinox,FALSE
CM1044,admin789,ABC236,Terrain,TRUE
CM1045,password456,ABC237,Envision,FALSE
CM1046,pass678,ABC238,Kona Electric,FALSE
CM1047,securePass123,ABC239,Model 3,FALSE
CM1048,admin789,ABC240,Land Cruiser,TRUE
CM1049,pass678,ABC241,Explorer Hybrid,FALSE
CM1050,password456,ABC242,Civic Type R,FALSE
CM1051,pass678,ABC243,E-Tron,FALSE
CM1052,securePass123,ABC244,S-Class,FALSE
CM1053,admin789,ABC245,X5 xDrive45e,TRUE
CM1054,pass678,ABC246,XC90 Hybrid,FALSE
CM1055,password456,ABC247,Trailblazer,FALSE
CM1056,pass678,ABC248,Kicks,FALSE
CM1057,securePass123,ABC249,Forester,FALSE
CM1058,admin789,ABC250,C-HR,TRUE
CM1059,pass678,ABC251,CX-5,FALSE
CM1060,password456,ABC252,CR-V Hybrid,FALSE
CM1061,pass678,ABC253,Santa Fe,FALSE
CM1062,securePass123,ABC254,Seltos,FALSE
CM1063,admin789,ABC255,Tiguan,TRUE
CM1064,pass678,ABC256,RX 450h,FALSE
CM1065,password456,ABC257,7 Series,FALSE
CM1066,pass678,ABC258,A4 TDI,FALSE
CM1067,securePass123,ABC259,A-Class,FALSE
CM1068,admin789,ABC260,Model Y,TRUE
CM1069,pass678,ABC261,Bronco Sport,FALSE
CM1070,password456,ABC262,Avalon Hybrid,FALSE
